72 ; 1513044252043 ; -4238.065 ;   839.616 ; lastgasp.mi ; 2017-345-0
73 ; 1513044252334 ; -4238.065 ;   839.616 ; lastgasp.mi ; 2017-345-0
74 ; 1513047796951 ; -4238.014 ;   839.527 ; lastgasp.mi ; 2017-345-0
75 ; 1513047797166 ; -4238.014 ;   839.527 ; lastgasp.mi ; 2017-345-0
76 ; 1513047796950 ; -4238.014 ;   839.527 ; lastgasp.mi ; 2017-345-0
77 ; 1513047797185 ; -4238.014 ;   839.527 ; lastgasp.mi ; 2017-345-0
78 ; 1513050441087 ; -4238.070 ;   839.418 ; lastgasp.mi ; 2017-345-0
79 ; 1513066345339 ; -4237.759 ;   837.468 ; lastgasp.mi ; 2017-345-2
80 ; 1513068200989 ; -4237.837 ;   837.735 ; lastgasp.mi ; 2017-345-2
81 ; 1513068595579 ; -4237.857 ;   837.803 ; lastgasp.mi ; 2017-345-2
82 ; 1513068595153 ; -4237.857 ;   837.803 ; lastgasp.mi ; 2017-345-2
83 ; 1513069210466 ; -4237.905 ;   837.900 ; lastgasp.mi ; 2017-345-2
84 ; 1513069210198 ; -4237.905 ;   837.900 ; lastgasp.mi ; 2017-345-2
85 ; 1513071655033 ; -4238.047 ;   838.349 ; lastgasp.mi ; 2017-345-3
86 ; 1513072309776 ; -4238.090 ;   838.460 ; lastgasp.mi ; 2017-345-3
87 ; 1513072850651 ; -4238.128 ;   838.561 ; lastgasp.mi ; 2017-345-3
88 ; 1513086015594 ; -4237.745 ;   835.826 ; storm.mi ; 2017-345-4
89 ; 1513100451902 ; -4236.764 ;   834.284 ; storm.mi ; 2017-345-5
90 ; 1513113784163 ; -4235.568 ;   832.526 ; storm.mi ; 2017-345-5
91 ; 1513113785109 ; -4235.568 ;   832.526 ; storm.mi ; 2017-345-5
92 ; 1513113784610 ; -4235.568 ;   832.526 ; storm.mi ; 2017-345-5
93 ; 1513113784566 ; -4235.568 ;   832.526 ; storm.mi ; 2017-345-5
94 ; 1513127056916 ; -4234.826 ;   829.690 ; storm.mi ; 2017-345-5
95 ; 1513127056905 ; -4234.826 ;   829.690 ; storm.mi ; 2017-345-5
96 ; 1513127056181 ; -4234.826 ;   829.690 ; storm.mi ; 2017-345-5
97 ; 1513127056995 ; -4234.826 ;   829.690 ; storm.mi ; 2017-345-5
98 ; 1513147705468 ; -4233.104 ;   827.310 ; storm.mi ; 2017-345-5
99 ; 1513147705795 ; -4233.104 ;   827.310 ; storm.mi ; 2017-345-5
100 ; 1513147705597 ; -4233.104 ;   827.310 ; storm.mi ; 2017-345-5
101 ; 1513147705299 ; -4233.104 ;   827.310 ; storm.mi ; 2017-345-5
102 ; 1513160730819 ; -4231.937 ;   825.159 ; storm.mi ; 2017-345-5
103 ; 1513160730537 ; -4231.937 ;   825.159 ; storm.mi ; 2017-345-5
104 ; 1513160730032 ; -4231.937 ;   825.159 ; storm.mi ; 2017-345-5
105 ; 1513160730726 ; -4231.937 ;   825.159 ; storm.mi ; 2017-345-5
106 ; 1513173644567 ; -4231.094 ;   822.642 ; storm.mi ; 2017-345-5
107 ; 1513173644956 ; -4231.094 ;   822.642 ; storm.mi ; 2017-345-5
108 ; 1513173644872 ; -4231.094 ;   822.642 ; storm.mi ; 2017-345-5
109 ; 1513173644436 ; -4231.094 ;   822.642 ; storm.mi ; 2017-345-5
110 ; 1513186851758 ; -4230.120 ;   821.175 ; storm.mi ; 2017-345-5
111 ; 1513186852676 ; -4230.120 ;   821.175 ; storm.mi ; 2017-345-5
112 ; 1513186851855 ; -4230.120 ;   821.175 ; storm.mi ; 2017-345-5
113 ; 1513186852694 ; -4230.120 ;   821.175 ; storm.mi ; 2017-345-5
114 ; 1513194904233 ; -4229.545 ;   820.196 ; storm.mi ; 2017-345-5
115 ; 1513194904458 ; -4229.545 ;   820.196 ; storm.mi ; 2017-345-5
116 ; 1513194904056 ; -4229.545 ;   820.196 ; storm.mi ; 2017-345-5
117 ; 1513194904650 ; -4229.545 ;   820.196 ; storm.mi ; 2017-345-5
118 ; 1513207965568 ; -4228.315 ;   818.034 ; storm.mi ; 2017-345-5
119 ; 1513207965459 ; -4228.315 ;   818.034 ; storm.mi ; 2017-345-5
120 ; 1513207965401 ; -4228.315 ;   818.034 ; storm.mi ; 2017-345-5
121 ; 1513207964942 ; -4228.315 ;   818.034 ; storm.mi ; 2017-345-5
122 ; 1513217014241 ; -4227.867 ;   816.571 ; storm.mi ; 2017-345-5
123 ; 1513217014495 ; -4227.867 ;   816.571 ; storm.mi ; 2017-345-5
124 ; 1513217014465 ; -4227.867 ;   816.571 ; storm.mi ; 2017-345-5
125 ; 1513217015142 ; -4227.867 ;   816.571 ; storm.mi ; 2017-345-5
126 ; 1513229650325 ; -4226.845 ;   815.709 ; storm.mi ; 2017-345-5
127 ; 1513229649618 ; -4226.845 ;   815.709 ; storm.mi ; 2017-345-5
128 ; 1513229650239 ; -4226.845 ;   815.709 ; storm.mi ; 2017-345-5
129 ; 1513229649726 ; -4226.845 ;   815.709 ; storm.mi ; 2017-345-5
130 ; 1513239345356 ; -4226.129 ;   814.536 ; storm.mi ; 2017-345-5
131 ; 1513251610806 ; -4224.806 ;   813.119 ; storm.mi ; 2017-345-5
132 ; 1513251610231 ; -4224.806 ;   813.119 ; storm.mi ; 2017-345-5
133 ; 1513251610329 ; -4224.806 ;   813.119 ; storm.mi ; 2017-345-5
134 ; 1513251610205 ; -4224.806 ;   813.119 ; storm.mi ; 2017-345-5
135 ; 1513265595709 ; -4226.036 ;   810.646 ; storm.mi ; 2017-347-0
136 ; 1513267135929 ; -4226.376 ;   811.140 ; lastgasp.mi ; 2017-347-1
137 ; 1513267136520 ; -4226.376 ;   811.140 ; lastgasp.mi ; 2017-347-1
138 ; 1513281961464 ; -4225.534 ;   810.765 ; storm.mi ; 2017-347-2
139 ; 1513294874554 ; -4224.262 ;   809.418 ; storm.mi ; 2017-347-2
140 ; 1513294874591 ; -4224.262 ;   809.418 ; storm.mi ; 2017-347-2
141 ; 1513294874780 ; -4224.262 ;   809.418 ; storm.mi ; 2017-347-2
142 ; 1513294874547 ; -4224.262 ;   809.418 ; storm.mi ; 2017-347-2
143 ; 1513308014766 ; -4223.100 ;   808.229 ; storm.mi ; 2017-347-2
144 ; 1513308015323 ; -4223.100 ;   808.229 ; storm.mi ; 2017-347-2
145 ; 1513308014987 ; -4223.100 ;   808.229 ; storm.mi ; 2017-347-2
146 ; 1513308014954 ; -4223.100 ;   808.229 ; storm.mi ; 2017-347-2
147 ; 1513308014913 ; -4223.100 ;   808.229 ; storm.mi ; 2017-347-2
148 ; 1513317065076 ; -4222.305 ;   807.957 ; storm.mi ; 2017-347-2
149 ; 1513317065405 ; -4222.305 ;   807.957 ; storm.mi ; 2017-347-2
150 ; 1513317065394 ; -4222.305 ;   807.957 ; storm.mi ; 2017-347-2
151 ; 1513317065197 ; -4222.305 ;   807.957 ; storm.mi ; 2017-347-2
152 ; 1513329630522 ; -4221.559 ;   806.578 ; storm.mi ; 2017-347-2
153 ; 1513401471669 ; -4215.938 ;   801.685 ; storm.mi ; 2017-348-0
154 ; 1513402820391 ; -4215.931 ;   802.082 ; storm.mi ; 2017-348-0
155 ; 1513416479560 ; -4215.690 ;   802.010 ; storm.mi ; 2017-348-0
156 ; 1513417093773 ; -4215.644 ;   802.203 ; storm.mi ; 2017-348-0
157 ; 1513417093370 ; -4215.644 ;   802.203 ; storm.mi ; 2017-348-0
158 ; 1513417093330 ; -4215.644 ;   802.203 ; storm.mi ; 2017-348-0
159 ; 1513417093430 ; -4215.644 ;   802.203 ; storm.mi ; 2017-348-0
160 ; 1513431054073 ; -4215.656 ;   801.508 ; storm.mi ; 2017-348-0
161 ; 1513431053531 ; -4215.656 ;   801.508 ; storm.mi ; 2017-348-0
162 ; 1513432183749 ; -4215.523 ;   801.670 ; lastgasp.mi ; 2017-349-0
163 ; 1513432183990 ; -4215.523 ;   801.670 ; lastgasp.mi ; 2017-349-0
